record_order	clean_id	record_id	dataset	label	sequence_sha256	strict40_independent	strict25_independent	final_v3_calibrated_probability	final_v3_threshold	final_v3_prediction	ESMCHalo	DeepSaltPro	DeepSaltPro_R2_Platt	ESMCHalo_prediction_at_0_5	DeepSaltPro_prediction_at_0_5	DeepSaltPro_R2_Platt_prediction_at_0_5
0	seq_2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	HCNEW0001	haloclass_newtest1402	0	2b59c51a5058ff77392802fd922a2e1a9f698dd213b94a70780b06082b006064	True	False	0.584521014953442	0.47	1	0.6751235646275039	0.3012725532054901	0.18870159472800557	1	0	0
1	seq_debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	HCNEW0002	haloclass_newtest1402	0	debf63f4570d3af39173001cf801b2bd65f445f334e2093934d89b85117f0ee1	True	True	0.6626890394292534	0.47	1	0.6756123601403967	0.4406844317913055	0.3967817932690699	1	0	0
2	seq_c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	HCNEW0003	haloclass_newtest1402	0	c734bf4033aa21f672d935e383fe6fdefa6d0bcb5d8d7d780699470b8724eb4e	True	True	0.8192972037867745	0.47	1	0.8399952045920526	0.6913578748703003	0.7994516016151966	1	1	1
3	seq_8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	HCNEW0004	haloclass_newtest1402	0	8a569f1be8c73828d87ea9b1fcc87af2c50c27d3e420ea2a32fbf127dadb7f8a	True	True	0.9987928867680048	0.47	1	0.9915567411352492	0.9548844575881958	0.9948093595953287	1	1	1
4	seq_703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	HCNEW0005	haloclass_newtest1402	0	703a426c0c45376229f006b745a864fa4cfa12bf2a654409678b18759e69ae2b	True	True	0.6934141152938431	0.47	1	0.2179523551194261	0.2400247409939765	0.11970001308402178	0	0	0
5	seq_e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	HCNEW0006	haloclass_newtest1402	0	e10cd73131d55d8f5ed26dc86b488b09692e999252d02a83bb7553c616d2dd75	True	True	0.9998887548044212	0.47	1	0.9882096991032058	0.94908949136734	0.9935475082890822	1	1	1
6	seq_5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	HCNEW0007	haloclass_newtest1402	0	5a934cb9e0788ffdc93ffd52db55a9354b28fed29b330ebc76f846b2f98596b3	True	True	0.1573506589654872	0.47	0	0.4761566200844948	0.7334174156188965	0.8503478619355661	0	1	1
7	seq_3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	HCNEW0008	haloclass_newtest1402	1	3978fedd766fd7ab8b354e1f79200d910bd79924e31bc4506fa7ced857201488	True	True	0.9926857211899554	0.47	1	0.991160331680514	0.9296953320503236	0.9883947959242257	1	1	1
8	seq_7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	HCNEW0009	haloclass_newtest1402	0	7e9536aa312b14fa71f9c566de2fd2828c7713a981349fe82fe836eb3f4c5ae2	True	True	0.7926026162829206	0.47	1	0.6102362884558077	0.7998858690261841	0.9154044536075082	1	1	1
9	seq_c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	HCNEW0010	haloclass_newtest1402	1	c7c600ea73386b8a0ac8766cfd33a8db152c9cf2700fcecbc35053f3d6040516	True	True	0.9959834523711084	0.47	1	0.9890320904682818	0.8822932004928589	0.9696958734184534	1	1	1
10	seq_11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	HCNEW0011	haloclass_newtest1402	0	11734ac50237aea3719f4e8fce884a32e6e615e94ef4f2ef4e0696211e846e82	True	True	0.2315525815386163	0.47	0	0.0839438981491295	0.1966877371072769	0.08059595509082691	0	0	0
11	seq_dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	HCNEW0012	haloclass_newtest1402	0	dff374a3ca0683767c3c11a78892429a2a22fca5f6aed59a6b3458ef9eb88eff	True	True	0.0018756446398573	0.47	0	0.0031208849228573	0.0416841145604848	0.004434339587670055	0	0	0
12	seq_59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	HCNEW0013	haloclass_newtest1402	1	59fe2e758ac0a199673aa90e0331cda3b8af161495db4836d435d771ae93b2be	True	False	0.9997432631972936	0.47	1	0.9939963827333193	0.9463029503822328	0.9928951951742795	1	1	1
13	seq_a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	HCNEW0014	haloclass_newtest1402	1	a0adcbca4a798aff9e0c1fe1c04350f49af7078990225b743475333e9ceadc2e	True	True	0.9991767288209172	0.47	1	0.9770636118597752	0.9507556676864624	0.9939234306704736	1	1	1
14	seq_2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	HCNEW0015	haloclass_newtest1402	1	2cad189b0494060b76d79571c2dc7202a9f0e19844fc3240667e2d64af13e7fc	True	True	0.9999570407180052	0.47	1	0.988529863681624	0.9125581741333008	0.9826454150304744	1	1	1
15	seq_78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	HCNEW0016	haloclass_newtest1402	0	78bbcd7a84e45f3b501476a80a0075e2de44f700f3a07a506912fb8aa71bcb07	True	True	0.32345993069381	0.47	0	0.1799178716485862	0.1555832222104072	0.050951117759826754	0	0	0
16	seq_f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	HCNEW0017	haloclass_newtest1402	0	f137390e59f3ab54aef30d6c109ec642e048a1ede221ef0e9b0e98701a982d2a	True	True	0.023471191106772	0.47	0	0.0148317302830542	0.0341708950698375	0.003109690291534022	0	0	0
17	seq_78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	HCNEW0018	haloclass_newtest1402	1	78d922409631cacfc8a6712dde1d97eb1e811715cfdc889d144a3fdb7c642470	True	True	0.9993254654061852	0.47	1	0.9884919141274592	0.8378341913223266	0.9439590945069279	1	1	1
18	seq_c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	HCNEW0019	haloclass_newtest1402	0	c8e36b4a87984ae84e5ed7e8d48344f112f470344007aa4b0e7c7019785a64d2	True	True	0.9993832105987056	0.47	1	0.987230188768922	0.9602953910827636	0.995871677543083	1	1	1
